_step,val/test_score/simulation__arcagi1/unknown,val/test_score/stem__supergpqa/m-a-p/SuperGPQA,val/test_score/table__multihier/unknown,val/generations,val/test_score/codegen__mbpp/mbpp,val/test_score/logic__ordering_puzzle_dataset/unknown,val/test_score/math__amc_repeated_4x/unknown,val/test_score/math__math/unknown,val/test_score/math__aime_repeated_8x/unknown,val/test_score/logic__graph_logical_dataset/unknown,val/test_score/table__hitab/unknown,val/test_score/codegen__humaneval/openai_humaneval,val/test_score/stem__gpqa_diamond/Idavidrein/gpqa,val/test_score/simulation__codeio/unknown,val/test_score/codegen__livecodebench/LiveCodeBench,val/test_score/logic__zebra_puzzle_dataset/unknown,run_id,run_created_at,run_name
50,0.055,0.265,0.395,"{'ncols': 91, 'sha256': 'd40398fc2f8c6f20cdbb2b8c26107b1db7b9e2e9e1edd6b4f19b8e0935a02b0a', '_latest_artifact_path': 'wandb-client-artifact://6fyveecrpuzsqol1bs2aa9d0xk4811sw5yw6rwey4cgp72a65vpi9hka2c7vse7t1qd43ybfgmcd2cez1pdhtrme99hivj4u1nlipun2lw1j5wihbbnr2wdclgcafzri:latest/val/generations.table.json', 'artifact_path': 'wandb-client-artifact://t5byg73kr8q27l7uvip3p2mlenybq5gcyvknffsrt5tkzk1shsabn3wy39yvxuzoip5po2hvo9dhd8tvj5uxh1syvcgbfhzc29vuu9tadjpb83bbmd0q9j87ige0f3ub/val/generations.table.json', 'nrows': 11, 'path': 'media/table/val/generations_49_d40398fc2f8c6f20cdbb.table.json', 'size': 1085941, '_type': 'table-file'}",0.705,0.44,0.4578313253012048,0.72,0.175,0.2597402597402597,0.695,0.8109756097560976,0.3042929292929293,0.12,0.17562724014336917,0.35790486112236974,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
55,0.05,0.285,0.425,"{'ncols': 91, '_latest_artifact_path': 'wandb-client-artifact://sfamx99w7ob52h8hcuepyv2u30zjabet3kcz0fpig18f3qp9w2w33gd8uvk6trmhb63ptu8xdcg8tldencxz78n32m8l5cvgifp8lmpx8rrlrwy24yy7jcr1vir973gt:latest/val/generations.table.json', 'nrows': 12, 'path': 'media/table/val/generations_54_0656fc94a293e977d469.table.json', 'sha256': '0656fc94a293e977d4691b6327c04da9d7effb3af32ab2491307f6cd7c14f9b5', 'size': 1195457, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://yussv0tz8k54gt0qjfejgu7na6s4ugib8c8jajwl7h70uqndg0b845ppb0nls8fjfyx1ccwehapj0nrkqaimuppfj0nop02f9xcg9r41zjuc6p64jz4pac4k6et9ybc1/val/generations.table.json'}",0.735,0.46,0.43373493975903615,0.748,0.17916666666666667,0.23376623376623376,0.695,0.8109756097560976,0.3055555555555556,0.13,0.1827956989247312,0.37385379113256934,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
60,0.05,0.26,0.425,"{'_type': 'table-file', 'nrows': 13, 'size': 1291778, 'ncols': 91, '_latest_artifact_path': 'wandb-client-artifact://vjptcmqfux4rtkygvz3a7y45mb3va85a4m7xpenr2uyzjbguqni4zgubthep1hgpdga44co17p9z4lz3ojx2bdbuuic83kc1jtj8f4di45l1mqffcicymltcxm01uolp:latest/val/generations.table.json', 'artifact_path': 'wandb-client-artifact://fx1fpc34h6p96c4pdq8cxu6e6gpy0pc3gins1y2k3umux04wi6tf83w2jp69xt9ajbruv2djvjuaqzfp8k308vx7tn0fszw9le1ua1icig5nnm6ima7m8jab1mcpy38y/val/generations.table.json', 'path': 'media/table/val/generations_59_f1c3de96bff08dfe43bd.table.json', 'sha256': 'f1c3de96bff08dfe43bde9ce9f9184d9066b273d2dcfe440db41b35a696fe29b'}",0.695,0.4,0.44879518072289154,0.76,0.16666666666666666,0.22077922077922077,0.72,0.7987804878048781,0.3106060606060606,0.125,0.16845878136200718,0.3776117743551731,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
65,0.045,0.28,0.41,"{'_latest_artifact_path': 'wandb-client-artifact://nm5heaciwviafk4hfyb79jaml7ol5a4fchekojp4owaz4xslwcjz4bn7is45pe8llnihwcl9t4t231zrl17f9jl0won100j54suhjwe00cnatrgzz1fxcotluocdncqn:latest/val/generations.table.json', 'artifact_path': 'wandb-client-artifact://yr0o22gp77xxyzec9l5dd0hqi7kfyddrd32prcauhi50xtph46f9yx16snxm6oxso29tdi8s35vdtshwm3ik7t4wpvqpv1s3rtlm8i0zugjj0gs6wtryizgzjllmp9t2/val/generations.table.json', 'nrows': 14, 'size': 1427364, '_type': 'table-file', 'sha256': 'a4ff35f8641a2c8bfa62799114811a07ceeccbbdaaf5f029a65eda8e5899bc5a', 'ncols': 91, 'path': 'media/table/val/generations_64_a4ff35f8641a2c8bfa62.table.json'}",0.705,0.45,0.4367469879518072,0.752,0.18333333333333332,0.2597402597402597,0.715,0.7804878048780488,0.28914141414141414,0.155,0.1827956989247312,0.3686785789579153,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
70,0.065,0.265,0.43,"{'sha256': '0235241c175bf669ccf4effc5fe330622961bff6e6f08b7dfb2cd52d09fe6d72', 'size': 1524432, 'ncols': 91, 'nrows': 15, '_latest_artifact_path': 'wandb-client-artifact://36scm0ej7shvhf0v8wuf9jfh2y1zhx586a663y8lb5b69n9fnwskj72vbtpdrk21ln793ia1s98zj7gd1mmkjdlxllsyguahhq50iwkljnljomfqds5x2g54teciwjhl:latest/val/generations.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://jq94a2pfzeqwqno1xg7qfp5pumh3up576yhj7hm2i0i0p3t70edozbbatwjzgkg7j7dsaixp0gvmeo6cbts1i1cspne45ymypwpdvzg3y4vxwiysf77jxuykntcah3us/val/generations.table.json', 'path': 'media/table/val/generations_69_0235241c175bf669ccf4.table.json'}",0.72,0.5,0.463855421686747,0.776,0.175,0.2597402597402597,0.715,0.7865853658536586,0.2916666666666667,0.145,0.16845878136200718,0.38200254008173945,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
75,0.05,0.3,0.425,"{'_latest_artifact_path': 'wandb-client-artifact://x438zrea7q9mxvz1mf0hjq1v4yxgmmu0w8437fhj0fskarwoje092e8a39qml6u4k8b6byb4enl199husni8pqa57f9j1xnxl9lwrbgs8j0nb5lffgfh20gjuhkopfxk:latest/val/generations.table.json', 'ncols': 91, 'artifact_path': 'wandb-client-artifact://0pz6by0wkt5e27110dexke2ib01nqgv9vmhqy18gtrwp990qus5t7d7o1qt8ygj72u9ct5xxmyyofy53p2wg08m10f8e2k57egdm7beaujgci10xhcd2bzi43mdsbold/val/generations.table.json', 'size': 1618271, '_type': 'table-file', 'path': 'media/table/val/generations_74_4c9a0f2c42df95e97699.table.json', 'sha256': '4c9a0f2c42df95e976995c2d73ce23e14e1f2479a4a5173955a9871ab2643dae', 'nrows': 16}",0.715,0.5,0.4608433734939759,0.74,0.17916666666666667,0.3246753246753247,0.715,0.7865853658536586,0.2702020202020202,0.145,0.1935483870967742,0.38682839296758176,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
80,0.065,0.245,0.425,"{'path': 'media/table/val/generations_79_92fa7b06bad62c77d3cd.table.json', 'size': 1723654, '_latest_artifact_path': 'wandb-client-artifact://4s8ax3s50akf3xlaqfo1zrr10dn82sfw5gjb6nsqcftx6gqsooms86gzh9ehltnvho3p7z1nck04n2y1xo8zbb68uugqt25olqlka0icxtxwj85qxwsg73ddfcf9j5th:latest/val/generations.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://99uo8a6odkzohmqqhug09ashda6x4he51vchu7xynm6vl34gc0amha3711fpim2ye7p7d296fjvi30l6x4vznqvwip41iadgjybj4neudnuluazj80bl9y2au4ww0n4g/val/generations.table.json', 'ncols': 91, 'nrows': 17, 'sha256': '92fa7b06bad62c77d3cd0a5cb8e1f69c9ec71414c0d0b122d04707f986243ac4'}",0.715,0.51,0.4939759036144578,0.764,0.17916666666666667,0.2597402597402597,0.73,0.774390243902439,0.2904040404040404,0.145,0.17562724014336917,0.38358918264508246,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
85,0.055,0.26,0.42,"{'_latest_artifact_path': 'wandb-client-artifact://07k6wf6bduf7ge0r435g8fenc28mu64nrpa04aodkj2a402kaguyzb1gsuf8cq8mvc6090j0zvy0xiy68yq6bokjkoif839vg33w01ml5s8cn83b4nw7pcalab944u80:latest/val/generations.table.json', '_type': 'table-file', 'ncols': 91, 'size': 1828773, 'path': 'media/table/val/generations_84_8c9cb3acbe18ff136233.table.json', 'artifact_path': 'wandb-client-artifact://cxjbu4x5p7g18jiluki7b786jjoetasz73sm1i8ecfssjrt9y94kdommqeh6z5mltlwgzaozgc9zfp85klryte254qg6tfib4g46zo197b6ora6v9m0w7swgoo4oomiu/val/generations.table.json', 'nrows': 18, 'sha256': '8c9cb3acbe18ff1362338138a30626b415545f0d2864affbacfb34d09870cdd0'}",0.7,0.47,0.46987951807228917,0.764,0.16666666666666666,0.3116883116883117,0.71,0.8353658536585366,0.2689393939393939,0.13,0.17204301075268819,0.3966047645360231,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
90,0.04,0.32,0.425,"{'nrows': 19, 'path': 'media/table/val/generations_89_d63f175fc88b6b53c804.table.json', 'artifact_path': 'wandb-client-artifact://7n6zmvg7a96pfbc33sy9ry06xpoiw2oeeqrvop62rpgk9h4u19a1kmv8cpi2ywtuaznhqs8gd3cysbkdr3di10qvqpxkiqibg63p55907lpuj3vtm36usv7mh0q0w0nb/val/generations.table.json', 'ncols': 91, 'sha256': 'd63f175fc88b6b53c804222e39f26cd4cf66cfb3eafcdab728fb9fb92b720d05', 'size': 1954633, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://q9k3lvydkmzt3adypahxq5wh10q92lwvswgia7gqushre5vzkf5hn628s6t9kpg2n21r4eq3nhhavg8al7pkmi8yht7zomrkdieupxxvv9ww02s4ybdn9yvpvim565hj:latest/val/generations.table.json'}",0.73,0.48,0.4578313253012048,0.764,0.15416666666666667,0.2987012987012987,0.73,0.8048780487804879,0.2398989898989899,0.11,0.17204301075268819,0.38087137646973135,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
95,0.055,0.285,0.415,"{'_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://eo36vmf0dmx2pk4ct33c0vomrtmvxnq2kyoufobyswwrq6cxpmqiuhx4vp7w95sx46wjpog4f8ycj4zby4ea5uqo3pefwunvkowjthe2zkvvd80fksuf4xhgk4sdcdi2:latest/val/generations.table.json', 'artifact_path': 'wandb-client-artifact://l8aten4nvpqkp3ovtuf92k1ohh4x4yv4siu0ocbxkvhf1rytgtd58icg7mtltrswfm3ujsao0a5l2hz8xkd8us4tpz294t4if84f5mqy21teirey2zaci45nxru2krfx/val/generations.table.json', 'nrows': 20, 'size': 2054869, 'path': 'media/table/val/generations_94_b84c2bc1144d47cd7162.table.json', 'sha256': 'b84c2bc1144d47cd71624270a170c9e727076aac9d408450f90f5a7c8d245558', 'ncols': 91}",0.71,0.44,0.4397590361445783,0.762,0.17916666666666667,0.2857142857142857,0.72,0.7987804878048781,0.25252525252525254,0.14,0.17204301075268819,0.3794816564768553,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
