_step,val/generations,val/test_score/logic__ordering_puzzle_dataset/unknown,val/test_score/logic__zebra_puzzle_dataset/unknown,val/test_score/simulation__codeio/unknown,val/test_score/codegen__mbpp/mbpp,val/test_score/math__math/unknown,val/test_score/simulation__arcagi1/unknown,val/test_score/table__multihier/unknown,val/test_score/codegen__humaneval/openai_humaneval,val/test_score/stem__gpqa/Idavidrein/gpqa,val/test_score/table__hitab/unknown,val/test_score/codegen__livecodebench/LiveCodeBench,val/test_score/logic__graph_logical_dataset/unknown,val/test_score/math__aime_repeated_8x/unknown,val/test_score/math__amc_repeated_4x/unknown,run_id,run_created_at,run_name
60,"{'sha256': '2daf3b4c81d9bd5dc0d70da4d2bea5d47ef535487a3e5bb7ee6f8730dd86b714', 'size': 111712, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://c4hd4h4xpa26sfugbj0zl1a0gjf037i0nto9epq0krkpdb5vhc0m9dfeeqhiss5h4jywq4b9gtotpmn4bbhn4zlxb0wlas0vpdbgymjdfgb5m56y3wx6jjtw1x5gi2eq:latest/val/generations.table.json', 'ncols': 91, 'nrows': 1, 'artifact_path': 'wandb-client-artifact://0wzcgzn8lv5l0bcaomjmbmqo2ua5i4dtsu8kebejb5pgcqqhesygcqcl1mmjynj25f2kuwzly73kggtl9m7qmke8bz9kxs5n632gn4rgo0l2rvw9co5kq82pkh67m5ou/val/generations.table.json', 'path': 'media/table/val/generations_0_2daf3b4c81d9bd5dc0d7.table.json'}",0.62,0.41918747670948503,0.14,0.79,0.82,0.1,0.57,0.9390243902439024,0.41919191919191917,0.815,0.3046594982078853,0.5974025974025974,0.2375,0.5783132530120482,54db11z0,2025-05-12T19:57:24Z,azure-hpc-H200-instance-010.core42.ai-20250512_013325-Qwen2.5-32B-think-16node-guru-full-minibsz64
70,"{'size': 218875, 'ncols': 91, '_latest_artifact_path': 'wandb-client-artifact://k35vjejmkypkcvt6wpynb5vivtfjxwe6gmam4a9mbmfkh1ac3v6n819b5l6te75s70iaisw53jc6t3c67wzok9olcqq4zk16zabw0gf9qhqn9fjybbrx21wqan0rrxi2:latest/val/generations.table.json', '_type': 'table-file', 'nrows': 2, 'artifact_path': 'wandb-client-artifact://k9yy8coqrbbrnsb3ehyon46n0zhbvz80zf3xm1w4ile3x43vkgm4e8tyuwfwlyzsjp0pptv9l1qpovhoifzu4hvrbcyplxlx31vxpjnkfy2mdiiz9jvb65ol67u6pwc9/val/generations.table.json', 'path': 'media/table/val/generations_69_987ce9f48e40b3e714a1.table.json', 'sha256': '987ce9f48e40b3e714a11f02a8607937314bd385f6b8087ad8209b0ee809e8aa'}",0.6,0.40986471220850945,0.15,0.79,0.844,0.065,0.56,0.8963414634146342,0.46464646464646464,0.795,0.27598566308243727,0.7012987012987013,0.25833333333333336,0.6355421686746988,54db11z0,2025-05-12T19:57:24Z,azure-hpc-H200-instance-010.core42.ai-20250512_013325-Qwen2.5-32B-think-16node-guru-full-minibsz64
80,"{'_type': 'table-file', 'nrows': 3, 'artifact_path': 'wandb-client-artifact://kg2p5l316tytepbef1k31nt5kk2tlairgjubsz8ref6n03voybac8l7c1rua82hlz3kzp9tbsjgebqy2avda09zy4asll3bnmdcrw33gf6kypuz0mx3mfaaoj9m29d44/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://t7vs2dpou3tvfrhxzqqq8ia3fnlr0ohwifbjd1q5umyoiubwm7hoadzzhdbaf5hvmcj67kpyd7gj07annj5df3tkxonwt8yjinovow4scziqbcevxqpp0ylmiewyi6r9:latest/val/generations.table.json', 'path': 'media/table/val/generations_79_b5f40ff7e32c380235b6.table.json', 'ncols': 91, 'sha256': 'b5f40ff7e32c380235b61fba39fcf2dfbd63a52e449662a444799d7030f7433a', 'size': 336301}",0.63,0.42668163917958735,0.145,0.79,0.844,0.115,0.57,0.9207317073170732,0.494949494949495,0.795,0.26881720430107525,0.7272727272727273,0.25,0.6355421686746988,54db11z0,2025-05-12T19:57:24Z,azure-hpc-H200-instance-010.core42.ai-20250512_013325-Qwen2.5-32B-think-16node-guru-full-minibsz64
90,"{'_latest_artifact_path': 'wandb-client-artifact://xeceqpt2qnb3m5r49yvc3kregkhmj6vqddn9licija8mi80uhsmgykd2gfgxrocdvoi5fom1ejkhu1c2hxm9wj3rv4oo8ap8ll40uucfkuqdgul8k63jgvgen25ff8ko:latest/val/generations.table.json', 'size': 440450, 'nrows': 4, 'path': 'media/table/val/generations_89_cd892137703be67a342e.table.json', 'sha256': 'cd892137703be67a342e84f04d6fd1b3db79cc94a6e38323e9618f632d9b8422', '_type': 'table-file', 'ncols': 91, 'artifact_path': 'wandb-client-artifact://lnwmbizw8evcd6ki3cdt0541kb35lktzzj6p168p28ltj6gg8v0maxrtdw0dkm456ndjsd4k3f5ou5r4zegoybpzb9g8hac2kvt36f58zugjoglstn0nnu47a9wwsaf0/val/generations.table.json'}",0.65,0.3796325969696045,0.125,0.8,0.834,0.105,0.565,0.9207317073170732,0.4696969696969697,0.8,0.3154121863799283,0.8311688311688312,0.26666666666666666,0.6174698795180723,54db11z0,2025-05-12T19:57:24Z,azure-hpc-H200-instance-010.core42.ai-20250512_013325-Qwen2.5-32B-think-16node-guru-full-minibsz64
